image_file,text_id,text,confidence,bbox_coords
8819000_h2_w6.png,16,MALDIVE,0.9817,"[[181.0, 1494.0], [421.0, 1494.0], [421.0, 1552.0], [181.0, 1552.0]]"
8819000_h2_w6.png,17,ISLANDS,0.9966,"[[188.0, 1558.0], [417.0, 1563.0], [416.0, 1621.0], [187.0, 1616.0]]"
8819000_h2_w6.png,18,13602,0.9915,"[[205.0, 1750.0], [348.0, 1755.0], [347.0, 1800.0], [204.0, 1795.0]]"
8826002_h4_w5.png,1,Ft.Worth,0.9914,"[[794.0, 187.0], [1030.0, 192.0], [1028.0, 244.0], [793.0, 239.0]]"
8826002_h4_w5.png,3,Tomatoes,0.9976,"[[1181.0, 475.0], [1408.0, 475.0], [1408.0, 525.0], [1181.0, 525.0]]"
8826002_h4_w5.png,5,E,0.9972,"[[31.0, 612.0], [102.0, 612.0], [102.0, 706.0], [31.0, 706.0]]"
8826002_h4_w5.png,8,Corny,0.9972,"[[337.0, 640.0], [466.0, 651.0], [461.0, 705.0], [332.0, 695.0]]"
8826002_h4_w5.png,10,Waco,0.9956,"[[1179.0, 695.0], [1316.0, 703.0], [1312.0, 755.0], [1176.0, 747.0]]"
8826002_h4_w5.png,11,Worlds Hairiest,0.9594,"[[142.0, 748.0], [496.0, 754.0], [495.0, 798.0], [141.0, 791.0]]"
8826002_h4_w5.png,13,than Goat,0.9556,"[[183.0, 852.0], [452.0, 848.0], [452.0, 891.0], [184.0, 896.0]]"
8826002_h4_w5.png,14,nuts!,0.9858,"[[1043.0, 943.0], [1175.0, 935.0], [1178.0, 987.0], [1046.0, 995.0]]"
8826002_h4_w5.png,15,AUSTIN,0.9967,"[[696.0, 1042.0], [915.0, 1042.0], [915.0, 1094.0], [696.0, 1094.0]]"
8826002_h4_w5.png,16,Rose Capitor,0.9386,"[[1533.0, 1042.0], [1857.0, 1033.0], [1859.0, 1091.0], [1534.0, 1101.0]]"
8826002_h4_w5.png,17,Brazos,0.9553,"[[1321.0, 1059.0], [1370.0, 1015.0], [1498.0, 1158.0], [1448.0, 1202.0]]"
8826002_h4_w5.png,18,Out for,0.9615,"[[358.0, 1081.0], [534.0, 1088.0], [532.0, 1140.0], [356.0, 1133.0]]"
8826002_h4_w5.png,19,Lonesomest,0.9957,"[[1073.0, 1108.0], [1344.0, 1108.0], [1344.0, 1150.0], [1073.0, 1150.0]]"
8826002_h4_w5.png,20,bits,0.9553,"[[0.0, 1139.0], [103.0, 1144.0], [100.0, 1190.0], [0.0, 1185.0]]"
8826002_h4_w5.png,21,a Shoat,0.9128,"[[346.0, 1148.0], [533.0, 1148.0], [533.0, 1192.0], [346.0, 1192.0]]"
8826002_h4_w5.png,22,Polecats,0.9887,"[[1075.0, 1156.0], [1277.0, 1156.0], [1277.0, 1200.0], [1075.0, 1200.0]]"
8826002_h4_w5.png,23,Ride,0.9986,"[[400.0, 1202.0], [519.0, 1202.0], [519.0, 1254.0], [400.0, 1254.0]]"
8826002_h4_w5.png,26,Houston,0.9988,"[[1705.0, 1525.0], [1911.0, 1530.0], [1910.0, 1584.0], [1704.0, 1579.0]]"
8826002_h4_w5.png,27,erous,0.996,"[[0.0, 1558.0], [121.0, 1558.0], [121.0, 1596.0], [0.0, 1596.0]]"
8826002_h4_w5.png,28,Beefiest,0.9785,"[[1079.0, 1590.0], [1290.0, 1590.0], [1290.0, 1640.0], [1079.0, 1640.0]]"
8826002_h4_w5.png,29,San Antonio,0.978,"[[622.0, 1627.0], [934.0, 1640.0], [932.0, 1684.0], [620.0, 1670.0]]"
8826002_h4_w5.png,30,Turkeys,0.9968,"[[1077.0, 1635.0], [1272.0, 1645.0], [1269.0, 1695.0], [1074.0, 1685.0]]"
8826002_h4_w5.png,31,Galve,0.9965,"[[1879.0, 1652.0], [1999.0, 1652.0], [1999.0, 1698.0], [1879.0, 1698.0]]"
8826002_h4_w5.png,32,"Most,",0.9651,"[[112.0, 1789.0], [242.0, 1794.0], [240.0, 1849.0], [110.0, 1843.0]]"
8826002_h4_w5.png,33,Hellacious,0.9874,"[[39.0, 1839.0], [282.0, 1851.0], [280.0, 1894.0], [37.0, 1883.0]]"
8826002_h4_w5.png,34,Hi Junior.,0.8916,"[[528.0, 1868.0], [746.0, 1875.0], [745.0, 1919.0], [527.0, 1912.0]]"
8826002_h4_w5.png,35,Javelinas,0.9356,"[[56.0, 1900.0], [288.0, 1900.0], [288.0, 1944.0], [56.0, 1944.0]]"
8826002_h4_w5.png,36,"Hello,Butch.",0.9532,"[[829.0, 1920.0], [1107.0, 1932.0], [1105.0, 1984.0], [826.0, 1972.0]]"
8831000_h3_w4.png,1,CASPER,0.9937,"[[513.0, 47.0], [607.0, 57.0], [604.0, 86.0], [509.0, 76.0]]"
8831000_h3_w4.png,2,OCEAN,0.9802,"[[0.0, 60.0], [163.0, 71.0], [161.0, 101.0], [0.0, 89.0]]"
8831000_h3_w4.png,3,VALENTINE,0.9335,"[[1515.0, 152.0], [1675.0, 157.0], [1674.0, 186.0], [1514.0, 181.0]]"
8831000_h3_w4.png,4,MARSHLAND,0.9918,"[[962.0, 178.0], [1128.0, 192.0], [1125.0, 222.0], [960.0, 208.0]]"
8831000_h3_w4.png,5,AREA,0.9979,"[[1522.0, 185.0], [1609.0, 190.0], [1607.0, 221.0], [1520.0, 216.0]]"
8831000_h3_w4.png,6,N.F.,0.9931,"[[1423.0, 205.0], [1486.0, 211.0], [1483.0, 242.0], [1420.0, 237.0]]"
8831000_h3_w4.png,7,R,0.9885,"[[1819.0, 196.0], [1844.0, 196.0], [1844.0, 215.0], [1819.0, 215.0]]"
8831000_h3_w4.png,8,NIOBRARA,0.9912,"[[1140.0, 228.0], [1303.0, 180.0], [1314.0, 219.0], [1152.0, 266.0]]"
8831000_h3_w4.png,9,O'L.,0.9727,"[[1539.0, 224.0], [1607.0, 230.0], [1605.0, 259.0], [1537.0, 253.0]]"
8831000_h3_w4.png,10,NEBRASKA,0.9722,"[[1365.0, 239.0], [1534.0, 246.0], [1533.0, 275.0], [1364.0, 268.0]]"
8831000_h3_w4.png,11,RES.,0.9656,"[[409.0, 274.0], [474.0, 282.0], [470.0, 311.0], [405.0, 303.0]]"
8831000_h3_w4.png,12,PATHFINDER,0.9953,"[[370.0, 296.0], [578.0, 322.0], [574.0, 358.0], [365.0, 332.0]]"
8831000_h3_w4.png,13,RIVER,0.9978,"[[940.0, 341.0], [1029.0, 390.0], [1012.0, 421.0], [923.0, 372.0]]"
8831000_h3_w4.png,14,NEB.,0.9948,"[[1550.0, 374.0], [1682.0, 384.0], [1679.0, 430.0], [1547.0, 420.0]]"
8831000_h3_w4.png,17,SARATOGA,0.9934,"[[368.0, 400.0], [537.0, 424.0], [532.0, 456.0], [363.0, 431.0]]"
8831000_h3_w4.png,20,MEDICINE,0.9959,"[[511.0, 462.0], [666.0, 480.0], [662.0, 509.0], [507.0, 491.0]]"
8831000_h3_w4.png,21,BOW,0.993,"[[508.0, 489.0], [582.0, 497.0], [579.0, 526.0], [505.0, 518.0]]"
8831000_h3_w4.png,22,MeCONAUGHY,0.989,"[[1231.0, 495.0], [1429.0, 414.0], [1444.0, 451.0], [1246.0, 532.0]]"
8831000_h3_w4.png,23,N.F.,0.9888,"[[505.0, 513.0], [574.0, 524.0], [570.0, 554.0], [501.0, 543.0]]"
8831000_h3_w4.png,24,CHEYENNE,0.9833,"[[716.0, 517.0], [902.0, 545.0], [896.0, 581.0], [711.0, 553.0]]"
8831000_h3_w4.png,25,ROUTT,0.9979,"[[232.0, 532.0], [335.0, 547.0], [330.0, 576.0], [228.0, 561.0]]"
8831000_h3_w4.png,26,PLATTE,0.9981,"[[1426.0, 533.0], [1537.0, 585.0], [1524.0, 615.0], [1413.0, 563.0]]"
8831000_h3_w4.png,27,ROOSEVELT,0.9982,"[[392.0, 549.0], [574.0, 570.0], [571.0, 597.0], [389.0, 576.0]]"
8831000_h3_w4.png,28,N.F.,0.9929,"[[269.0, 567.0], [331.0, 567.0], [331.0, 598.0], [269.0, 598.0]]"
8831000_h3_w4.png,30,N.F,0.9956,"[[457.0, 582.0], [514.0, 591.0], [509.0, 620.0], [453.0, 611.0]]"
8831000_h3_w4.png,31,OGALLALA,0.9959,"[[1272.0, 597.0], [1426.0, 607.0], [1424.0, 636.0], [1270.0, 627.0]]"
8831000_h3_w4.png,33,WHITE RIVER,0.9656,"[[190.0, 628.0], [397.0, 655.0], [393.0, 685.0], [186.0, 657.0]]"
8831000_h3_w4.png,34,RIVER,0.9978,"[[1589.0, 642.0], [1687.0, 667.0], [1679.0, 698.0], [1581.0, 673.0]]"
8831000_h3_w4.png,35,N.F.,0.9961,"[[226.0, 664.0], [288.0, 669.0], [286.0, 692.0], [224.0, 687.0]]"
8831000_h3_w4.png,36,FT,0.8966,"[[596.0, 671.0], [662.0, 671.0], [662.0, 694.0], [596.0, 694.0]]"
8831000_h3_w4.png,37,STERLING,0.9968,"[[1025.0, 668.0], [1153.0, 680.0], [1150.0, 711.0], [1022.0, 699.0]]"
8831000_h3_w4.png,38,COLLINS,0.9978,"[[565.0, 686.0], [682.0, 701.0], [679.0, 730.0], [561.0, 716.0]]"
8831000_h3_w4.png,39,JU,0.9619,"[[894.0, 690.0], [933.0, 690.0], [933.0, 731.0], [894.0, 731.0]]"
8831000_h3_w4.png,41,BLUE,0.997,"[[1885.0, 725.0], [1967.0, 762.0], [1953.0, 794.0], [1871.0, 757.0]]"
8831000_h3_w4.png,42,OGRANBY,0.9234,"[[480.0, 749.0], [610.0, 768.0], [605.0, 797.0], [476.0, 778.0]]"
8831000_h3_w4.png,45,ARAPAHO,0.997,"[[424.0, 793.0], [567.0, 803.0], [565.0, 832.0], [422.0, 822.0]]"
8831000_h3_w4.png,46,ROCK CREEK L.,0.9162,"[[1217.0, 791.0], [1440.0, 750.0], [1446.0, 780.0], [1222.0, 820.0]]"
8831000_h3_w4.png,47,BENKELMAN,0.9818,"[[1303.0, 807.0], [1497.0, 780.0], [1501.0, 809.0], [1307.0, 837.0]]"
8831000_h3_w4.png,48,N.,0.9285,"[[467.0, 829.0], [510.0, 829.0], [510.0, 846.0], [467.0, 846.0]]"
8831000_h3_w4.png,49,RIVER,0.9935,"[[143.0, 840.0], [252.0, 830.0], [255.0, 860.0], [146.0, 870.0]]"
8831000_h3_w4.png,50,DENVER,0.9869,"[[649.0, 873.0], [779.0, 893.0], [773.0, 931.0], [644.0, 911.0]]"
8831000_h3_w4.png,51,GRAND,0.9951,"[[101.0, 903.0], [212.0, 918.0], [208.0, 947.0], [97.0, 932.0]]"
8831000_h3_w4.png,52,MESA,0.9933,"[[134.0, 934.0], [216.0, 945.0], [212.0, 974.0], [130.0, 963.0]]"
8831000_h3_w4.png,54,PIKE,0.9894,"[[505.0, 982.0], [578.0, 993.0], [574.0, 1022.0], [501.0, 1011.0]]"
8831000_h3_w4.png,55,COLO.,0.9948,"[[614.0, 1015.0], [773.0, 1037.0], [766.0, 1081.0], [608.0, 1059.0]]"
8831000_h3_w4.png,56,RIV,0.9969,"[[1942.0, 1017.0], [1971.0, 1009.0], [1985.0, 1069.0], [1956.0, 1076.0]]"
8831000_h3_w4.png,57,HGRE,0.9747,"[[1.0, 1032.0], [82.0, 1043.0], [78.0, 1074.0], [0.0, 1064.0]]"
8831000_h3_w4.png,59,KANOPOLIS RES.,0.9673,"[[1769.0, 1033.0], [1978.0, 1175.0], [1955.0, 1209.0], [1746.0, 1068.0]]"
8831000_h3_w4.png,60,N.F,0.9632,"[[242.0, 1052.0], [292.0, 1052.0], [292.0, 1077.0], [242.0, 1077.0]]"
8831000_h3_w4.png,61,TWINL,0.9886,"[[492.0, 1046.0], [602.0, 1088.0], [589.0, 1121.0], [480.0, 1078.0]]"
8831000_h3_w4.png,63,GUNNISON,0.9968,"[[118.0, 1063.0], [268.0, 1084.0], [264.0, 1116.0], [113.0, 1095.0]]"
8831000_h3_w4.png,64,ER,0.9905,"[[1956.0, 1066.0], [1986.0, 1055.0], [1999.0, 1105.0], [1975.0, 1116.0]]"
8831000_h3_w4.png,66,KAN.,0.9931,"[[1612.0, 1115.0], [1750.0, 1115.0], [1750.0, 1158.0], [1612.0, 1158.0]]"
8831000_h3_w4.png,67,GUNNI,0.9934,"[[161.0, 1155.0], [268.0, 1140.0], [272.0, 1172.0], [166.0, 1186.0]]"
8831000_h3_w4.png,68,SAN ISABEL,0.9559,"[[444.0, 1207.0], [624.0, 1228.0], [621.0, 1257.0], [441.0, 1236.0]]"
8831000_h3_w4.png,69, PUEBLO,0.8731,"[[692.0, 1207.0], [826.0, 1226.0], [822.0, 1258.0], [688.0, 1238.0]]"
8831000_h3_w4.png,70,N.F.,0.9863,"[[491.0, 1238.0], [558.0, 1251.0], [553.0, 1274.0], [486.0, 1261.0]]"
8831000_h3_w4.png,71,GREAT BEND,0.9161,"[[1824.0, 1229.0], [1988.0, 1238.0], [1986.0, 1267.0], [1822.0, 1258.0]]"
8831000_h3_w4.png,72,CREEDE,0.9975,"[[120.0, 1240.0], [224.0, 1255.0], [220.0, 1286.0], [115.0, 1272.0]]"
8831000_h3_w4.png,73,ARKANSAS,0.9885,"[[890.0, 1267.0], [1060.0, 1267.0], [1060.0, 1302.0], [890.0, 1302.0]]"
8831000_h3_w4.png,74,RG,0.98,"[[138.0, 1277.0], [196.0, 1277.0], [196.0, 1308.0], [138.0, 1308.0]]"
8831000_h3_w4.png,75,RVER,0.9598,"[[1126.0, 1275.0], [1227.0, 1294.0], [1221.0, 1325.0], [1121.0, 1307.0]]"
8831000_h3_w4.png,76,CHEYENNE,0.995,"[[1769.0, 1282.0], [1910.0, 1333.0], [1897.0, 1369.0], [1756.0, 1318.0]]"
8831000_h3_w4.png,78,LAKING,0.8915,"[[1241.0, 1312.0], [1334.0, 1317.0], [1332.0, 1346.0], [1239.0, 1341.0]]"
8831000_h3_w4.png,79,BOTTOMS,0.9809,"[[1754.0, 1304.0], [1872.0, 1351.0], [1861.0, 1381.0], [1742.0, 1334.0]]"
8831000_h3_w4.png,80,RES.,0.984,"[[131.0, 1316.0], [199.0, 1322.0], [196.0, 1351.0], [128.0, 1345.0]]"
8831000_h3_w4.png,81,RIO,0.9884,"[[229.0, 1314.0], [282.0, 1333.0], [271.0, 1365.0], [218.0, 1347.0]]"
8831000_h3_w4.png,82,RIO,0.9954,"[[323.0, 1360.0], [382.0, 1366.0], [379.0, 1397.0], [320.0, 1391.0]]"
8831000_h3_w4.png,83,KEARNY CO.,0.9183,"[[1207.0, 1362.0], [1392.0, 1369.0], [1391.0, 1400.0], [1206.0, 1393.0]]"
8831000_h3_w4.png,84,GRANDE,0.9966,"[[321.0, 1387.0], [451.0, 1401.0], [448.0, 1432.0], [318.0, 1418.0]]"
8831000_h3_w4.png,85,STATEL.,0.9901,"[[1205.0, 1391.0], [1344.0, 1398.0], [1343.0, 1428.0], [1204.0, 1420.0]]"
8831000_h3_w4.png,86,SDURANSO,0.858,"[[38.0, 1411.0], [199.0, 1432.0], [195.0, 1462.0], [34.0, 1441.0]]"
8831000_h3_w4.png,87,N.F.,0.9963,"[[320.0, 1411.0], [383.0, 1420.0], [378.0, 1451.0], [315.0, 1442.0]]"
8831000_h3_w4.png,88,HAMA,0.9974,"[[194.0, 1489.0], [272.0, 1499.0], [269.0, 1522.0], [191.0, 1512.0]]"
8831000_h3_w4.png,90,CARSON,0.9975,"[[294.0, 1561.0], [418.0, 1578.0], [414.0, 1608.0], [290.0, 1591.0]]"
8831000_h3_w4.png,91,N.F.,0.9906,"[[296.0, 1589.0], [357.0, 1595.0], [354.0, 1626.0], [293.0, 1620.0]]"
8831000_h3_w4.png,92,IMARRON,0.9926,"[[1734.0, 1624.0], [1859.0, 1722.0], [1835.0, 1752.0], [1711.0, 1654.0]]"
8831000_h3_w4.png,93,TAOS,0.9834,"[[464.0, 1651.0], [566.0, 1661.0], [563.0, 1690.0], [462.0, 1680.0]]"
8831000_h3_w4.png,96,JAMESR.,0.9819,"[[188.0, 1708.0], [219.0, 1709.0], [214.0, 1848.0], [183.0, 1847.0]]"
8831000_h3_w4.png,97,SANTA FE,0.9444,"[[511.0, 1716.0], [639.0, 1730.0], [635.0, 1759.0], [507.0, 1745.0]]"
8831000_h3_w4.png,98,N.F.,0.9789,"[[548.0, 1747.0], [618.0, 1755.0], [614.0, 1786.0], [545.0, 1778.0]]"
8831000_h3_w4.png,99,CANADIAN,0.9958,"[[1399.0, 1796.0], [1555.0, 1827.0], [1548.0, 1862.0], [1392.0, 1831.0]]"
8831000_h3_w4.png,100,RIO,0.9935,"[[146.0, 1825.0], [177.0, 1825.0], [177.0, 1885.0], [146.0, 1885.0]]"
8831000_h3_w4.png,101,SANTA FE,0.9248,"[[367.0, 1822.0], [549.0, 1841.0], [545.0, 1878.0], [363.0, 1859.0]]"
8831000_h3_w4.png,102,JEMEZ,0.9945,"[[235.0, 1835.0], [320.0, 1843.0], [317.0, 1874.0], [232.0, 1866.0]]"
8831000_h3_w4.png,103,ER,0.996,"[[2.0, 1862.0], [46.0, 1862.0], [46.0, 1888.0], [2.0, 1888.0]]"
8831000_h3_w4.png,105,PUER,0.995,"[[164.0, 1899.0], [193.0, 1897.0], [198.0, 1997.0], [169.0, 1998.0]]"
8831000_h3_w4.png,108,CONCHAS,0.9969,"[[549.0, 1924.0], [699.0, 1934.0], [697.0, 1963.0], [547.0, 1954.0]]"
8831000_h3_w4.png,109,CANADIAN,0.9948,"[[806.0, 1928.0], [974.0, 1916.0], [976.0, 1945.0], [808.0, 1957.0]]"
8831000_h3_w4.png,110,ALBUQUERQUE,0.9517,"[[231.0, 1953.0], [440.0, 1972.0], [438.0, 1999.0], [228.0, 1983.0]]"
8831000_h3_w4.png,112,WASHITA,0.9958,"[[1590.0, 1962.0], [1728.0, 1913.0], [1741.0, 1951.0], [1603.0, 1999.0]]"
8880003_h5_w5.png,1,SALZ,0.9669,"[[723.0, 233.0], [800.0, 233.0], [800.0, 271.0], [723.0, 271.0]]"
8880003_h5_w5.png,2,EISLEBEN,0.9636,"[[397.0, 566.0], [667.0, 576.0], [665.0, 640.0], [395.0, 631.0]]"
8880003_h5_w5.png,3,LEIPZIG,0.9868,"[[1490.0, 985.0], [1756.0, 959.0], [1762.0, 1017.0], [1495.0, 1043.0]]"
8880003_h5_w5.png,4,ERFURT,0.9964,"[[35.0, 1210.0], [274.0, 1224.0], [271.0, 1274.0], [32.0, 1259.0]]"
8880003_h5_w5.png,5,WEIMAR,0.9795,"[[395.0, 1230.0], [657.0, 1222.0], [659.0, 1283.0], [397.0, 1290.0]]"
8880003_h5_w5.png,6,JENA,0.9936,"[[831.0, 1329.0], [971.0, 1329.0], [971.0, 1367.0], [831.0, 1367.0]]"
8880003_h5_w5.png,7,HEMNI',0.92,"[[1682.0, 1638.0], [1930.0, 1662.0], [1926.0, 1708.0], [1678.0, 1684.0]]"
8883002_h11_w14.png,1,Ellisville,0.954,"[[2.0, 3.0], [141.0, 0.0], [142.0, 41.0], [3.0, 46.0]]"
8883002_h11_w14.png,2,Frisco,0.9827,"[[624.0, 3.0], [732.0, 0.0], [734.0, 35.0], [626.0, 40.0]]"
8883002_h11_w14.png,5,Opp,0.9209,"[[1210.0, 31.0], [1290.0, 36.0], [1287.0, 78.0], [1207.0, 72.0]]"
8883002_h11_w14.png,6,Dothan84,0.9878,"[[1395.0, 23.0], [1631.0, 0.0], [1638.0, 42.0], [1402.0, 73.0]]"
8883002_h11_w14.png,7,an,0.98,"[[221.0, 38.0], [243.0, 29.0], [263.0, 79.0], [240.0, 88.0]]"
8883002_h11_w14.png,8,City,0.9955,"[[651.0, 34.0], [727.0, 28.0], [730.0, 68.0], [654.0, 74.0]]"
8883002_h11_w14.png,10,Andalusia,0.9977,"[[963.0, 55.0], [1128.0, 34.0], [1133.0, 72.0], [968.0, 93.0]]"
8883002_h11_w14.png,11,Donalsonvill,0.9967,"[[1789.0, 48.0], [1998.0, 15.0], [1999.0, 56.0], [1796.0, 90.0]]"
8883002_h11_w14.png,13,Petal,0.9965,"[[0.0, 85.0], [83.0, 85.0], [83.0, 123.0], [0.0, 123.0]]"
8883002_h11_w14.png,14,ha,0.8809,"[[244.0, 88.0], [265.0, 88.0], [265.0, 154.0], [244.0, 154.0]]"
8883002_h11_w14.png,17,Samson,0.9982,"[[1159.0, 93.0], [1294.0, 80.0], [1297.0, 116.0], [1163.0, 128.0]]"
8883002_h11_w14.png,19,Bainbridge,0.9881,"[[1805.0, 97.0], [1994.0, 76.0], [1999.0, 119.0], [1810.0, 141.0]]"
8883002_h11_w14.png,21,Geneva,0.9645,"[[1387.0, 111.0], [1523.0, 101.0], [1526.0, 137.0], [1389.0, 147.0]]"
8883002_h11_w14.png,22,Richton,0.9987,"[[108.0, 121.0], [250.0, 151.0], [240.0, 195.0], [98.0, 164.0]]"
8883002_h11_w14.png,23,elles,0.8731,"[[495.0, 126.0], [570.0, 106.0], [580.0, 145.0], [505.0, 165.0]]"
8883002_h11_w14.png,24,Brewton,0.9973,"[[900.0, 126.0], [1055.0, 107.0], [1060.0, 145.0], [905.0, 164.0]]"
8883002_h11_w14.png,25,Florala,0.9956,"[[1068.0, 147.0], [1198.0, 134.0], [1201.0, 172.0], [1071.0, 184.0]]"
8883002_h11_w14.png,26,Graceville,0.9941,"[[1523.0, 145.0], [1713.0, 123.0], [1718.0, 167.0], [1528.0, 189.0]]"
8883002_h11_w14.png,28,Mt.,0.9832,"[[512.0, 161.0], [571.0, 155.0], [574.0, 189.0], [515.0, 195.0]]"
8883002_h11_w14.png,29,Vernon,0.9967,"[[576.0, 157.0], [707.0, 149.0], [709.0, 185.0], [578.0, 192.0]]"
8883002_h11_w14.png,30,Citron,0.9495,"[[393.0, 169.0], [501.0, 127.0], [517.0, 167.0], [408.0, 209.0]]"
8883002_h11_w14.png,31,Atmore,0.9979,"[[723.0, 175.0], [846.0, 122.0], [862.0, 158.0], [738.0, 211.0]]"
8883002_h11_w14.png,33,Flomaton,0.9254,"[[818.0, 186.0], [982.0, 172.0], [984.0, 201.0], [820.0, 215.0]]"
8883002_h11_w14.png,34,Marian,0.9964,"[[1643.0, 188.0], [1773.0, 178.0], [1776.0, 218.0], [1646.0, 228.0]]"
8883002_h11_w14.png,35,Leakesville,0.9945,"[[82.0, 201.0], [272.0, 182.0], [276.0, 220.0], [86.0, 239.0]]"
8883002_h11_w14.png,36,Bonifay,0.9871,"[[1423.0, 206.0], [1588.0, 183.0], [1594.0, 230.0], [1429.0, 252.0]]"
8883002_h11_w14.png,39,cam,0.8784,"[[822.0, 253.0], [851.0, 251.0], [859.0, 363.0], [830.0, 365.0]]"
8883002_h11_w14.png,41,Chipley,0.9983,"[[1534.0, 255.0], [1659.0, 268.0], [1656.0, 305.0], [1530.0, 293.0]]"
8883002_h11_w14.png,42,Sneads,0.994,"[[1661.0, 253.0], [1802.0, 238.0], [1806.0, 276.0], [1665.0, 291.0]]"
8883002_h11_w14.png,43,berton,0.9878,"[[10.0, 265.0], [127.0, 265.0], [127.0, 300.0], [10.0, 300.0]]"
8883002_h11_w14.png,44,Lucedale,0.9967,"[[276.0, 265.0], [428.0, 256.0], [430.0, 293.0], [279.0, 303.0]]"
8883002_h11_w14.png,45,Crestview,0.9909,"[[1107.0, 272.0], [1292.0, 260.0], [1295.0, 301.0], [1110.0, 313.0]]"
8883002_h11_w14.png,46,Minette,0.9954,"[[618.0, 286.0], [766.0, 281.0], [767.0, 319.0], [620.0, 323.0]]"
8883002_h11_w14.png,47,Quincy,0.9914,"[[1810.0, 296.0], [1932.0, 291.0], [1934.0, 327.0], [1811.0, 332.0]]"
8883002_h11_w14.png,48,Wiggins,0.9983,"[[46.0, 310.0], [194.0, 310.0], [194.0, 354.0], [46.0, 354.0]]"
8883002_h11_w14.png,49,De Funial,0.942,"[[1122.0, 320.0], [1289.0, 303.0], [1293.0, 338.0], [1125.0, 355.0]]"
8883002_h11_w14.png,50,Chattahoocr,0.9232,"[[1584.0, 330.0], [1799.0, 277.0], [1810.0, 322.0], [1595.0, 375.0]]"
8883002_h11_w14.png,51,Prichard,0.9912,"[[303.0, 351.0], [475.0, 341.0], [478.0, 385.0], [306.0, 394.0]]"
8883002_h11_w14.png,52,Milton,0.9203,"[[915.0, 347.0], [1026.0, 335.0], [1030.0, 375.0], [919.0, 387.0]]"
8883002_h11_w14.png,54,Springs,0.9958,"[[1168.0, 347.0], [1310.0, 334.0], [1314.0, 380.0], [1172.0, 393.0]]"
8883002_h11_w14.png,55,Tallahass,0.9957,"[[1778.0, 343.0], [1995.0, 324.0], [1999.0, 374.0], [1782.0, 393.0]]"
8883002_h11_w14.png,56,SMobile,0.8838,"[[472.0, 363.0], [677.0, 349.0], [680.0, 401.0], [476.0, 416.0]]"
8883002_h11_w14.png,57,Valparaisc,0.9499,"[[970.0, 376.0], [1145.0, 395.0], [1140.0, 439.0], [965.0, 420.0]]"
8883002_h11_w14.png,58,F,0.9954,"[[1658.0, 367.0], [1729.0, 367.0], [1729.0, 454.0], [1658.0, 454.0]]"
8883002_h11_w14.png,60,Daphne,0.9946,"[[579.0, 413.0], [711.0, 406.0], [713.0, 443.0], [581.0, 451.0]]"
8883002_h11_w14.png,61,Niceville,0.9969,"[[1179.0, 407.0], [1320.0, 388.0], [1325.0, 426.0], [1184.0, 445.0]]"
8883002_h11_w14.png,62,isti,0.9517,"[[96.0, 427.0], [121.0, 439.0], [101.0, 482.0], [75.0, 471.0]]"
8883002_h11_w14.png,66,Fairhope,0.9962,"[[585.0, 455.0], [738.0, 447.0], [740.0, 489.0], [587.0, 496.0]]"
8883002_h11_w14.png,67,Pensacola,0.9982,"[[875.0, 447.0], [1074.0, 423.0], [1079.0, 467.0], [881.0, 491.0]]"
